uid,name,posts,saved
101,despairingapples,267,267
8866208,itshannahowo,256,256
11152338,deadyandere,579,549
12444226,emoangie._,293,293
16663927,comely_cos,674,673
17666463,sufi_dat_fox|mommy._.sufi,969,969
17788440,bornordos,1302,1302
18650074,this.is.it.kidd,5,5
24364222,ravenbutnotreally,171,171
27532700,apricotpal,358,358
73007105207,satoridesu,130,130
79783850494,dog__.trainer57,23,23
55519416678875136,zeroinspiration,1744,1742
55952826815762432,nosebled,1401,1401
62128989611237376,moonlight.sugar.babe|moonlight.tay,851,796
63507266145886208,irl._.tsumiki,1006,1003
63970837627744257,cospeach,1052,1052
66980637177315328,swooofy,39,39
67469508893904896,paigesdirtysocks,57,57
67587510335393792,toastertopia,220,220
69408148234584064,deadly_encounter,495,495
69719106978988032,astrouxx,452,450
70099158858117120,earl.alois.trancy,1965,1965
75075252849901568,pianoidiot,253,253
75855745996431360,disbeing,347,347
85436438145617920,anxorphia,31,31
86246394948132864,ghastygurl,77,77
94668502568960000,jennarhea,15,15
94970440971931648,sweeetpsychoo,1480,1479
98995846783897600,kisutime,452,452
103392377557413888,katyonak,101,101
103512607583571968,cale.cos,1210,1204
107790630084341760,piericast,247,240
109574955549257728,skyim,230,230
122821760470716416,ohdomy,979,972
127744959717306368,peachybbg721,1851,1851
133917036170125312,sewinsisters.g,695,691
135244681214373888,idiotfroggirl,17,16
136406641163374592,vomitboyx,701,556
149713149061894144,bugmochi,463,463
160930712261595136,yanderehino,1754,1752
171453552781963264,lallablomy,159,159
175037745084465152,polssums,204,204
175192746582781952,cathy_ii,19,19
177594024860594176,that_loser_axel,963,962
186240016111845376,_mollyeve|mollman,54,53
188290035656470528,irlshou,552,549
188294915489964032,zureeal,68,68
200237102821867520,honeybuttcheerio,145,127
219309202052378624,bonbibonkers,576,574
223320784679661568,arachnidsgrip__|hotwheelporn,293,286
233081649683644416,bussyeater445,459,457
243188196363104256,_fluffy.cos_,272,272
247281197121277952,froggi.tree,76,76
248647210953863168,daddy._.sulfur,77,77
249210900220395520,baka.neko42,462,462
254107310539841536,glitchbolt,2032,1862
254833660342992896,annazhyravleva,508,508
262792257811169280,meivix,445,445
264664326157037568,_izzy_1014_cos,1157,1150
267473282218487808,bubbly_pip,829,816
274803267749138432,ethanisfailing,270,268
279055641338572800,lunxacoz,460,459
280277616392060928,fudo.core,1061,1061
